EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Tornado,C,127,SIMPSON,,12-APR-55 18:00:00,CST,12-APR-55 18:00:00,0,0,0,0,2.5K,0,,0,,,,F2,57.6,33,,,,,0,,,0,,,31.92,-89.98,32.07,-89.02
Tornado,C,85,LINCOLN,,12-APR-55 18:30:00,CST,12-APR-55 18:30:00,0,0,0,0,250K,0,,0,,,,F2,72.7,33,,,,,0,,,0,,,31.53,-89.42,32.58,-89.33
Tornado,C,105,CROCKETT,,16-JUN-55 15:00:00,CST,16-JUN-55 15:00:00,0,0,0,0,0K,0,,0,,,,F2,3,333,,,,,0,,,0,,,30.72,-101.22,,
Hail,C,353,NOLAN,,16-JUN-55 15:00:00,CST,16-JUN-55 15:00:00,0,0,0,0,0,0,,1.75,,,,,0,0,,,,,0,,,0,,,32.38,-100.28,,
Tornado,C,375,POTTER,,16-JUN-55 15:30:00,CST,16-JUN-55 15:30:00,0,0,0,0,0K,0,,0,,,,F0,.3,67,,,,,0,,,0,,,35.23,-101.65,,
Tornado,C,11,ARMSTRONG,,16-JUN-55 15:30:00,CST,16-JUN-55 15:30:00,0,0,0,0,0K,0,,0,,,,F0,2,17,,,,,0,,,0,,,35.22,-101.27,,
Tornado,C,45,ELLIS,,25-MAY-55 18:00:00,CST,25-MAY-55 18:00:00,0,0,0,0,2.5K,0,,0,,,,F1,4.9,400,,,,,0,,,0,,,36.25,-99.87,36.32,-99.83
Tornado,C,51,GRADY,,25-MAY-55 18:00:00,CST,25-MAY-55 18:00:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,34.80,-97.92,,
Tornado,C,9,BECKHAM,,25-MAY-55 18:05:00,CST,25-MAY-55 18:05:00,0,0,0,0,.25K,0,,0,,,,F0,3.8,300,,,,,0,,,0,,,35.35,-99.87,35.38,-99.82
Tornado,C,73,KINGFISHER,,25-MAY-55 19:00:00,CST,25-MAY-55 19:00:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,35.87,-97.90,,
Tornado,C,43,DEWEY,,25-MAY-55 20:30:00,CST,25-MAY-55 20:30:00,1,0,0,0,25K,0,,0,,,,F2,5.1,300,,,,,0,,,0,,,36.02,-99.30,36.07,-99.23
Thunderstorm Wind,C,59,MORTON,,05-AUG-55 19:30:00,CST,05-AUG-55 19:30:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,46.78,-100.78,,
Tornado,C,45,LA MOURE,,10-AUG-55 15:00:00,CST,10-AUG-55 15:00:00,0,0,0,0,25K,0,,0,,,,,0,33,,,,,0,,,0,,,46.50,-98.50,,
Thunderstorm Wind,C,35,GRAND FORKS,,16-AUG-55 23:03:00,CST,16-AUG-55 23:03:00,0,0,0,0,0,0,,78,,,,,0,0,,,,,0,,,0,,,48.00,-97.18,,
Thunderstorm Wind,C,35,GRAND FORKS,,17-AUG-55 00:10:00,CST,17-AUG-55 00:10:00,0,0,0,0,0,0,,80,,,,,0,0,,,,,0,,,0,,,48.00,-97.18,,
