EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Tornado,C,63,JACKSON,,31-AUG-50 00:02:00,CST,31-AUG-50 00:02:00,0,0,0,0,2.5K,0,,0,,,,,0,33,,,,,0,,,0,,,30.80,-85.20,,
Tornado,C,183,WAKE,,12-MAY-50 17:00:00,CST,12-MAY-50 17:00:00,0,0,0,0,0K,0,,0,,,,F0,1,200,,,,,0,,,0,,,35.73,-78.40,,
Tornado,C,183,WAKE,,12-MAY-50 17:00:00,CST,12-MAY-50 17:00:00,0,0,0,0,0K,0,,0,,,,F1,1,200,,,,,0,,,0,,,35.73,-78.40,,
Tornado,C,123,MONTGOMERY,,14-MAY-50 17:00:00,CST,14-MAY-50 17:00:00,0,0,0,0,2.5K,0,,0,,,,F1,3.8,50,,,,,0,,,0,,,35.30,-79.80,35.33,-79.75
Tornado,C,179,UNION,,14-MAY-50 17:30:00,CST,14-MAY-50 17:30:00,5,0,0,0,0K,0,,0,,,,F2,2,33,,,,,0,,,0,,,35.00,-80.68,,
Tornado,C,147,PITT,,31-MAY-50 15:30:00,CST,31-MAY-50 15:30:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,35.42,-77.25,,
Tornado,C,147,PITT,,26-JUL-50 15:30:00,CST,26-JUL-50 15:30:00,0,0,0,0,0K,0,,0,,,,F1,0,33,,,,,0,,,0,,,35.53,-77.40,,
Tornado,C,25,CABARRUS,,27-JUL-50 16:20:00,CST,27-JUL-50 16:20:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,35.40,-80.57,,
Tornado,C,47,COLUMBUS,,09-OCT-50 02:15:00,CST,09-OCT-50 02:15:00,3,0,0,0,250K,0,,0,,,,F3,2,880,,,,,0,,,0,,,34.17,-78.60,,
Tornado,C,147,PITT,,12-MAY-50 14:00:00,CST,12-MAY-50 14:00:00,0,0,0,0,25K,0,,0,,,,F1,2,33,,,,,0,,,0,,,35.75,-77.42,,
Tornado,C,67,JACKSON,,02-APR-50 15:30:00,CST,02-APR-50 15:30:00,8,0,1,0,2.5K,0,,0,,,,F3,2.5,33,,,,,0,,,0,,,35.75,-91.22,,
Tornado,C,3,BALDWIN,,18-APR-50 01:45:00,CST,18-APR-50 01:45:00,0,0,0,0,2.5K,0,,0,,,,F2,2,150,,,,,0,,,0,,,30.70,-87.92,,
Tornado,C,59,HOT SPRING,,26-MAR-50 19:30:00,CST,26-MAR-50 19:30:00,0,0,0,0,25K,0,,0,,,,F2,13.3,150,,,,,0,,,0,,,34.17,-93.03,34.32,-92.88
Tornado,C,117,PRAIRIE,,26-MAR-50 21:15:00,CST,26-MAR-50 21:15:00,20,0,0,0,250K,0,,0,,,,F3,14.9,1760,,,,,0,,,0,,,34.98,-91.73,35.08,-91.50
Tornado,C,147,WOODRUFF,,26-MAR-50 23:30:00,CST,26-MAR-50 23:30:00,2,0,0,0,0K,0,,0,,,,F2,5.4,833,,,,,0,,,0,,,35.10,-91.40,35.15,-91.33
Tornado,C,177,MUHLENBERG,,20-NOV-50 02:20:00,CST,20-NOV-50 02:20:00,0,0,0,0,250K,0,,0,,,,F2,0,33,,,,,0,,,0,,,37.37,-87.20,,
Tornado,C,209,SCOTT,,20-NOV-50 04:00:00,CST,20-NOV-50 04:00:00,0,0,0,0,250K,0,,0,,,,F1,0,33,,,,,0,,,0,,,38.20,-84.50,,
Tornado,C,65,IZARD,,26-MAR-50 19:31:00,CST,26-MAR-50 19:31:00,1,0,0,0,250K,0,,0,,,,F3,5.7,200,,,,,0,,,0,,,36.15,-91.83,36.20,-91.75
Tornado,C,119,PULASKI,,26-MAR-50 20:30:00,CST,26-MAR-50 20:30:00,7,0,0,0,250K,0,,0,,,,F2,10.4,600,,,,,0,,,0,,,34.70,-92.35,34.80,-92.22
Tornado,C,109,ST. JOHNS,,16-MAR-50 09:15:00,CST,16-MAR-50 09:15:00,0,0,0,0,2.5K,0,,0,,,,F2,1.5,150,,,,,0,,,0,,,29.65,-81.22,,
Tornado,C,127,VOLUSIA,,08-MAY-50 13:00:00,CST,08-MAY-50 13:00:00,0,0,0,0,2.5K,0,,0,,,,F1,.3,30,,,,,0,,,0,,,29.13,-81.35,,
Tornado,C,95,ORANGE,,15-MAY-50 11:00:00,CST,15-MAY-50 11:00:00,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,28.58,-81.37,,
Tornado,C,95,ORANGE,,15-MAY-50 11:00:00,CST,15-MAY-50 11:00:00,0,0,0,0,25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,28.50,-81.37,,
Tornado,C,93,MISSISSIPPI,,02-APR-50 18:00:00,CST,02-APR-50 18:00:00,0,0,0,0,2.5K,0,,0,,,,F1,.8,100,,,,,0,,,0,,,35.98,-89.92,,
Tornado,C,1,ARKANSAS,,24-AUG-50 03:45:00,CST,24-AUG-50 03:45:00,7,0,0,0,25K,0,,0,,,,F2,3.6,200,,,,,0,,,0,,,34.40,-91.43,34.43,-91.38
Tornado,C,65,IZARD,,02-DEC-50 16:25:00,CST,02-DEC-50 16:25:00,0,0,0,0,.03K,0,,0,,,,F3,7.8,33,,,,,0,,,0,,,36.12,-91.83,36.18,-91.72
Tornado,C,29,KENT,,11-AUG-50 17:00:00,CST,11-AUG-50 17:00:00,0,0,0,0,2.5K,0,,0,,,,F1,6,33,,,,,0,,,0,,,39.33,-75.87,,
Tornado,C,167,WILKIN,,15-JUN-50 16:42:00,CST,15-JUN-50 16:42:00,4,0,0,0,2.5K,0,,0,,,,F2,4.6,67,,,,,0,,,0,,,46.58,-96.33,46.52,-96.33
